"Region Name","Region Type","Data Type",Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016
"Marshall Park","neighborhood","All Homes","$421,100","$428,300","$434,600","$439,600","$442,100","$442,500","$441,100","$439,700","$438,600","$437,900","$437,500","$438,100","$441,100","$444,600","$446,600","$449,200","$452,400","$454,400","$455,600","$455,900","$454,200","$452,700","$451,900","$450,400","$447,700","$442,100","$434,300","$427,500","$424,200","$421,300","$415,700","$409,500","$407,500","$408,000","$406,800","$403,600","$401,000","$400,800","$402,800","$404,400","$404,800","$404,500","$405,000","$404,800","$403,300","$401,500","$400,600","$399,300","$395,900","$390,500","$383,900","$376,100","$368,300","$362,300","$358,300","$355,300","$352,500","$348,600","$345,200","$341,900","$338,500","$335,800","$334,400","$333,400","$333,100","$333,300","$334,000","$335,900","$338,200","$340,200","$342,000","$344,100","$345,500","$347,100","$347,900","$348,600","$348,800","$349,500","$350,300","$351,700","$353,000","$354,500","$356,600","$360,900","$366,800","$372,400","$378,200","$385,700","$394,000","$401,300","$407,400","$412,500","$416,200","$419,800","$423,600","$426,400","$428,100","$429,400","$431,200","$433,100","$434,700","$435,200","$436,900","$438,700","$438,600","$434,900","$431,500","$432,400","$438,100","$445,700","$453,500","$460,300","$465,800","$472,300","$478,500","$482,400","$486,900","$494,000","$500,800","$505,600"
"Mill Park","neighborhood","All Homes","$197,800","$200,400","$203,200","$205,800","$208,200","$210,700","$213,400","$215,800","$217,200","$218,000","$219,100","$220,200","$221,000","$221,100","$220,900","$220,600","$219,800","$218,300","$216,300","$214,600","$213,900","$213,300","$212,300","$211,300","$209,700","$207,500","$205,500","$204,100","$203,000","$201,800","$200,100","$197,700","$196,000","$195,300","$194,100","$192,300","$191,300","$191,300","$191,300","$190,900","$190,000","$188,800","$187,500","$186,700","$186,000","$185,100","$183,900","$182,700","$181,900","$180,300","$177,000","$173,300","$170,200","$167,900","$166,000","$164,300","$162,300","$159,800","$157,400","$155,300","$153,200","$151,500","$150,100","$148,700","$147,700","$147,000","$146,400","$146,200","$146,100","$145,600","$145,200","$145,100","$145,300","$145,800","$147,100","$148,700","$150,400","$152,300","$154,400","$156,200","$157,800","$159,300","$161,300","$163,400","$165,900","$168,600","$171,600","$174,000","$176,000","$178,000","$180,200","$182,300","$184,300","$186,700","$189,200","$191,500","$192,800","$193,200","$193,600","$194,600","$195,500","$195,700","$195,900","$196,900","$197,300","$197,300","$198,100","$199,900","$202,300","$205,400","$208,400","$211,400","$214,700","$218,500","$222,300","$225,400","$228,800","$232,600","$236,100","$238,800"
"Montavilla","neighborhood","All Homes","$214,600","$216,700","$219,100","$221,400","$223,400","$225,000","$226,700","$228,000","$228,300","$228,400","$229,000","$230,000","$230,600","$230,700","$230,400","$230,100","$229,800","$229,400","$228,700","$228,100","$228,100","$228,300","$227,900","$227,100","$226,200","$225,100","$223,700","$222,300","$220,800","$218,900","$216,500","$213,600","$211,800","$210,900","$209,700","$208,200","$207,400","$206,800","$206,200","$205,500","$205,200","$205,200","$205,500","$206,300","$207,000","$207,000","$206,300","$205,800","$205,400","$204,600","$203,300","$202,000","$200,300","$198,100","$195,900","$193,800","$191,600","$189,400","$187,200","$185,300","$184,000","$182,900","$181,600","$180,600","$179,900","$179,500","$179,300","$179,600","$180,000","$180,100","$180,600","$182,200","$183,500","$184,300","$185,600","$187,100","$188,700","$190,400","$192,300","$193,400","$194,400","$195,200","$196,200","$198,200","$201,600","$205,100","$207,500","$209,300","$211,100","$213,200","$215,000","$216,700","$218,500","$221,800","$226,000","$228,400","$228,300","$228,400","$229,200","$229,900","$230,800","$231,400","$232,500","$234,200","$235,600","$236,500","$237,900","$239,600","$242,100","$245,800","$250,400","$255,200","$260,100","$265,500","$271,000","$276,300","$281,400","$286,100","$289,700","$292,100"
"Mount Scott","neighborhood","All Homes","$199,300","$201,600","$204,200","$206,500","$208,100","$209,400","$210,800","$212,200","$213,400","$214,800","$216,800","$219,000","$220,900","$222,400","$223,200","$223,500","$223,300","$222,700","$222,000","$221,700","$221,800","$221,900","$221,600","$221,100","$220,000","$218,300","$216,600","$215,200","$214,000","$212,700","$210,900","$208,500","$206,100","$203,800","$201,700","$199,600","$197,500","$195,800","$194,700","$194,000","$194,000","$194,200","$194,500","$195,400","$196,800","$197,500","$197,200","$196,900","$197,400","$198,000","$197,400","$196,000","$193,500","$190,900","$188,100","$185,400","$182,400","$179,300","$176,100","$173,300","$171,000","$169,000","$167,700","$166,800","$166,500","$166,200","$165,800","$165,200","$165,600","$166,800","$168,600","$171,100","$173,400","$174,600","$175,600","$176,600","$177,300","$178,400","$180,500","$182,400","$184,000","$185,700","$188,200","$191,400","$195,500","$199,800","$204,000","$207,500","$210,200","$212,700","$215,200","$217,600","$219,300","$221,600","$224,300","$225,700","$225,900","$226,700","$228,500","$230,400","$232,700","$234,900","$237,600","$240,100","$241,500","$241,600","$242,200","$243,500","$246,200","$249,300","$252,400","$255,900","$260,400","$265,400","$269,900","$275,000","$281,100","$287,200","$292,400","$296,600"
"Mount Tabor","neighborhood","All Homes","$350,300","$354,700","$359,000","$362,600","$363,800","$364,500","$365,800","$366,500","$366,400","$366,200","$367,600","$370,100","$372,100","$372,300","$372,800","$374,900","$377,300","$378,200","$378,100","$377,900","$377,000","$377,000","$377,700","$377,800","$375,700","$372,600","$369,400","$365,600","$361,700","$359,800","$359,400","$357,900","$357,200","$358,000","$357,900","$355,900","$353,400","$351,200","$349,600","$349,100","$349,400","$349,500","$348,500","$347,600","$347,200","$346,700","$345,800","$345,400","$346,100","$346,200","$344,200","$341,700","$340,100","$337,500","$334,800","$333,700","$333,500","$332,100","$330,400","$328,200","$325,100","$322,300","$322,300","$323,500","$324,900","$327,400","$329,800","$331,500","$333,600","$336,000","$338,300","$340,800","$344,300","$349,000","$353,900","$357,200","$359,200","$360,500","$361,800","$363,100","$363,900","$365,000","$367,300","$371,900","$378,000","$384,000","$387,400","$388,600","$388,400","$389,400","$392,000","$395,900","$400,200","$405,000","$408,900","$411,100","$411,400","$412,700","$415,700","$419,600","$423,200","$425,300","$427,900","$431,400","$434,200","$434,800","$435,500","$437,000","$442,400","$450,300","$458,500","$466,800","$476,500","$485,000","$492,000","$499,100","$506,200","$512,400","$517,700","$521,700"
"Multnomah","neighborhood","All Homes","$300,000","$302,800","$305,500","$307,500","$308,800","$310,500","$313,000","$316,000","$318,500","$320,100","$321,200","$322,000","$323,800","$326,200","$328,100","$329,400","$330,100","$329,700","$328,000","$325,400","$323,400","$322,600","$322,300","$321,700","$319,900","$316,700","$314,300","$313,000","$312,100","$310,300","$307,100","$303,100","$300,400","$299,500","$299,700","$299,900","$299,200","$297,900","$295,300","$293,300","$292,500","$292,200","$291,800","$292,100","$291,800","$290,900","$289,200","$287,400","$285,900","$284,300","$282,100","$279,800","$276,800","$273,300","$270,500","$268,900","$267,600","$265,500","$262,900","$259,600","$256,000","$253,000","$251,300","$250,200","$249,000","$247,800","$247,000","$246,900","$247,400","$247,900","$248,800","$250,900","$254,400","$258,600","$261,600","$263,300","$264,900","$267,200","$269,400","$270,700","$271,600","$272,900","$276,200","$281,200","$285,200","$286,800","$289,200","$292,500","$295,400","$299,300","$304,200","$307,300","$308,900","$310,800","$312,400","$313,400","$314,500","$316,600","$319,700","$323,000","$327,000","$330,400","$333,300","$336,500","$339,200","$340,800","$341,700","$342,300","$343,900","$348,300","$352,600","$355,700","$358,300","$361,800","$365,600","$370,500","$376,400","$381,800","$385,500","$388,100"
"North Tabor","neighborhood","All Homes","$274,600","$277,500","$279,700","$281,500","$282,700","$284,000","$285,600","$286,800","$286,800","$286,600","$288,700","$292,000","$294,300","$295,000","$295,800","$296,400","$297,200","$298,000","$297,100","$295,100","$294,300","$294,700","$294,400","$293,500","$292,000","$290,600","$290,000","$289,900","$289,600","$289,100","$288,500","$287,100","$288,700","$294,700","$299,900","$300,300","$299,100","$297,800","$296,400","$295,200","$294,400","$293,600","$292,100","$290,700","$289,000","$286,700","$283,600","$281,500","$281,200","$281,900","$281,400","$280,200","$278,100","$275,500","$273,900","$273,700","$272,700","$271,100","$270,400","$269,400","$267,300","$264,200","$261,200","$259,800","$260,500","$262,000","$263,500","$264,800","$266,000","$266,300","$266,900","$270,100","$275,600","$281,600","$287,100","$291,700","$295,500","$298,100","$300,800","$303,700","$305,600","$306,800","$308,400","$310,700","$313,200","$316,300","$318,800","$319,600","$319,700","$321,200","$324,700","$328,600","$332,400","$334,700","$336,300","$337,200","$338,100","$338,800","$340,300","$342,400","$345,000","$347,000","$348,200","$349,300","$349,700","$349,500","$350,400","$351,900","$353,800","$358,400","$365,400","$372,300","$377,800","$383,400","$388,700","$394,900","$401,200","$407,300","$412,600","$417,500"
"Northwest","neighborhood","All Homes","$376,600","$378,000","$386,400","$400,800","$408,500","$410,500","$415,100","$424,200","$427,600","$432,900","$437,700","$444,200","$446,800","$442,800","$434,600","$427,400","$420,700","$411,500","$408,200","$406,700","$411,000","$414,900","$416,800","$417,900","$426,800","$432,400","$429,500","$423,100","$414,200","$409,400","$405,600","$399,300","$383,100","$366,500","$353,100","$344,800","$336,200","$331,900","$331,200","$330,900","$334,800","$340,600","$340,300","$333,800","$328,900","$322,200","$311,600","$300,700","$294,500","$294,800","$294,300","$290,600","$287,100","$284,900","$281,500","$280,100","$283,300","$287,800","$295,000","$301,300","$298,900","$286,600","$277,700","$276,200","$275,500","$270,700","$267,400","$267,100","$267,800","$269,500","$270,600","$270,600","$271,000","$272,000","$272,800","$273,900","$275,800","$278,100","$280,400","$281,700","$282,100","$283,800","$291,600","$301,800","$308,300","$312,100","$315,500","$317,600","$319,100","$322,900","$330,700","$344,600","$353,000","$348,400","$340,000","$332,000","$321,600","$312,500","$308,700","$307,100","$307,600","$305,900","$302,700","$299,600","$298,300","$299,800","$301,400","$303,500","$311,900","$326,300","$337,900","$343,600","$346,700","$350,900","$354,400","$354,800","$355,500","$359,900","$364,100","$366,000"
"Northwest Heights","neighborhood","All Homes","$635,400","$642,600","$648,000","$651,700","$656,200","$660,800","$663,400","$663,500","$661,700","$660,800","$662,800","$665,900","$667,500","$667,100","$666,900","$666,300","$663,600","$659,800","$655,000","$649,900","$646,700","$646,200","$643,800","$638,500","$632,000","$626,200","$621,400","$618,000","$615,600","$611,400","$604,600","$596,400","$591,200","$590,100","$590,100","$588,400","$584,800","$579,800","$574,200","$568,800","$564,000","$560,700","$559,400","$559,600","$559,000","$556,900","$553,900","$550,800","$547,700","$545,300","$543,700","$541,400","$537,600","$533,500","$531,200","$531,600","$532,700","$530,500","$526,700","$523,300","$520,500","$518,300","$517,800","$518,800","$521,300","$523,200","$523,600","$524,200","$525,800","$526,900","$527,400","$530,300","$534,700","$538,600","$541,900","$545,000","$546,700","$548,100","$549,900","$551,300","$551,200","$552,600","$556,400","$561,400","$567,400","$574,500","$581,800","$588,200","$593,700","$597,200","$601,600","$606,400","$610,200","$613,700","$618,900","$623,700","$627,200","$629,200","$629,600","$628,600","$630,000","$633,200","$635,700","$637,200","$638,400","$640,000","$642,800","$646,600","$650,800","$656,900","$662,600","$668,000","$675,300","$685,400","$694,700","$701,500","$707,100","$712,400","$716,200","$717,900"
"Old Town-Chinatown","neighborhood","All Homes","$290,400","$294,200","$296,000","$296,800","$297,900","$300,800","$303,600","$306,000","$305,500","$302,700","$301,300","$301,200","$302,600","$303,500","$303,800","$302,700","$302,300","$302,600","$302,200","$299,400","$298,500","$299,000","$297,700","$294,700","$293,400","$294,200","$294,100","$291,000","$288,800","$285,600","$280,300","$274,300","$274,400","$280,100","$286,000","$287,100","$284,700","$283,000","$284,800","$287,800","$289,700","$291,500","$292,900","$291,300","$285,100","$277,500","$272,400","$268,100","$263,900","$259,100","$254,300","$249,900","$246,400","$244,000","$243,800","$246,100","$246,200","$240,000","$233,000","$227,800","$223,100","$219,800","$218,200","$215,800","$213,000","$209,300","$206,900","$205,900","$206,200","$207,800","$208,600","$207,900","$207,000","$206,500","$209,400","$213,900","$215,100","$214,600","$213,600","$212,400","$211,500","$211,000","$210,200","$214,300","$221,900","$228,400","$231,900","$236,500","$240,400","$243,900","$249,900","$256,000","$258,900","$260,600","$266,100","$275,600","$279,800","$277,400","$261,800","$243,900","$236,100","$238,200","$236,800","$235,400","$233,600","$232,100","$231,600","$231,100","$231,200","$234,000","$239,800","$245,400","$248,000","$248,700","$249,300","$249,700","$251,300","$254,800","$256,700","$256,700"
"Overlook","neighborhood","All Homes","$276,200","$280,500","$284,500","$287,700","$289,700","$291,200","$293,200","$295,000","$296,600","$298,200","$299,800","$300,400","$301,000","$302,100","$304,100","$306,200","$307,300","$307,400","$306,300","$305,000","$304,600","$305,200","$305,800","$306,200","$305,500","$304,300","$303,100","$301,400","$300,400","$300,100","$299,500","$297,900","$296,600","$296,100","$296,300","$296,300","$295,600","$294,600","$293,200","$292,600","$292,800","$292,400","$290,700","$290,300","$290,700","$290,800","$289,400","$288,100","$287,900","$287,300","$285,300","$282,800","$280,100","$277,900","$277,200","$276,900","$275,600","$272,900","$270,500","$268,100","$265,400","$262,100","$259,600","$258,400","$258,700","$259,100","$259,500","$260,100","$261,000","$263,000","$264,500","$266,000","$268,300","$271,800","$275,700","$279,500","$282,000","$284,100","$286,300","$287,800","$289,300","$291,600","$295,000","$299,900","$305,000","$309,700","$314,000","$317,400","$319,700","$322,300","$325,200","$328,600","$332,000","$334,600","$337,200","$339,400","$341,200","$342,100","$342,700","$343,800","$346,700","$349,900","$351,800","$352,900","$353,600","$353,700","$354,400","$356,000","$359,100","$364,900","$371,800","$377,800","$383,300","$389,000","$395,100","$402,300","$409,000","$414,600","$421,100","$427,400"
"Parkrose","neighborhood","All Homes","$207,100","$209,900","$212,900","$216,200","$219,600","$223,000","$226,400","$228,600","$229,400","$229,800","$230,900","$232,000","$232,700","$233,200","$233,000","$231,800","$230,300","$228,300","$226,200","$225,200","$225,700","$226,200","$225,600","$224,600","$223,700","$222,600","$221,500","$220,200","$218,900","$217,200","$215,000","$212,200","$210,000","$208,000","$205,800","$203,400","$201,500","$200,100","$199,100","$198,400","$197,700","$196,600","$195,600","$195,300","$194,900","$194,300","$193,400","$192,500","$192,200","$192,000","$190,500","$188,000","$185,300","$182,900","$180,700","$178,200","$175,500","$173,200","$171,500","$169,900","$167,600","$164,700","$161,800","$159,900","$158,800","$158,200","$157,600","$157,100","$156,600","$156,500","$156,900","$157,900","$158,700","$159,800","$161,400","$162,700","$164,100","$166,000","$168,100","$170,100","$172,000","$172,900","$174,100","$175,900","$178,100","$180,300","$183,800","$186,700","$188,700","$190,500","$192,900","$194,600","$195,900","$197,700","$200,400","$202,600","$203,500","$203,500","$203,700","$205,000","$206,500","$207,100","$207,800","$209,100","$210,700","$213,000","$215,200","$217,600","$221,700","$226,700","$231,100","$236,100","$241,300","$246,300","$250,600","$255,400","$260,700","$265,100","$268,000","$270,200"
"Parkrose Heights","neighborhood","All Homes","$201,000","$202,800","$204,800","$207,400","$210,100","$212,500","$214,900","$216,900","$217,900","$218,600","$219,600","$220,500","$220,900","$221,400","$221,800","$221,600","$220,500","$219,100","$217,800","$217,000","$216,700","$216,700","$216,200","$215,600","$215,200","$214,000","$211,800","$209,900","$209,000","$208,400","$207,000","$204,300","$202,200","$200,700","$198,800","$197,000","$196,400","$196,200","$196,000","$195,600","$194,800","$193,900","$192,900","$192,500","$191,900","$191,300","$190,300","$188,900","$187,800","$187,000","$185,000","$181,400","$177,200","$173,000","$169,600","$167,100","$164,800","$162,600","$161,100","$160,200","$159,000","$157,300","$155,600","$154,500","$154,200","$154,400","$155,000","$155,800","$156,000","$155,800","$156,100","$157,000","$157,100","$157,000","$158,000","$159,800","$161,500","$162,800","$163,700","$164,400","$165,600","$166,700","$168,200","$169,600","$171,100","$173,400","$176,400","$178,700","$180,700","$182,900","$185,400","$187,300","$188,900","$191,100","$193,100","$195,000","$196,900","$198,200","$198,700","$199,700","$201,400","$202,800","$204,300","$206,500","$208,000","$208,700","$210,200","$211,500","$212,700","$215,200","$218,800","$222,600","$226,200","$229,500","$232,500","$235,600","$239,700","$243,900","$246,200","$247,300"
"Piedmont","neighborhood","All Homes","$252,000","$254,700","$256,900","$258,800","$261,000","$262,700","$264,400","$266,300","$267,900","$268,500","$268,900","$269,500","$270,900","$272,400","$273,000","$272,700","$272,100","$271,400","$270,700","$270,100","$270,100","$271,200","$272,300","$272,400","$271,200","$269,300","$267,700","$267,000","$267,000","$266,900","$265,800","$263,800","$262,600","$261,500","$259,700","$257,500","$256,200","$256,100","$256,900","$257,400","$257,100","$256,600","$256,700","$257,800","$258,100","$257,100","$255,700","$255,200","$255,400","$254,900","$252,700","$249,700","$246,400","$243,500","$241,300","$239,200","$237,200","$235,000","$233,500","$232,100","$229,900","$227,600","$225,900","$224,700","$225,000","$226,400","$227,400","$227,900","$228,400","$229,000","$229,900","$231,600","$233,000","$234,700","$237,500","$240,700","$243,000","$244,600","$246,100","$247,900","$250,400","$253,200","$256,300","$261,200","$268,200","$274,900","$279,600","$283,300","$286,000","$288,600","$290,900","$293,100","$295,000","$298,500","$302,600","$303,800","$302,100","$301,200","$301,700","$302,800","$305,500","$308,800","$312,500","$316,200","$318,700","$320,400","$322,900","$325,900","$329,600","$334,100","$339,600","$346,100","$352,400","$357,400","$362,300","$367,700","$374,000","$380,500","$385,500","$388,600"
"Pleasant Valley","neighborhood","All Homes","$298,900","$304,200","$309,700","$314,100","$318,200","$321,200","$323,700","$325,800","$327,200","$328,000","$328,700","$329,300","$330,200","$330,700","$330,100","$329,700","$329,200","$327,700","$326,600","$326,800","$326,100","$323,600","$320,800","$319,200","$317,500","$315,700","$313,800","$310,800","$306,100","$300,300","$293,900","$287,300","$284,600","$285,300","$285,000","$282,200","$279,100","$275,700","$272,400","$269,800","$268,900","$269,000","$269,200","$269,700","$268,900","$266,700","$264,400","$263,400","$262,900","$261,600","$258,500","$255,000","$251,400","$248,200","$244,800","$241,400","$238,400","$235,800","$233,700","$231,500","$227,800","$223,500","$220,600","$218,700","$217,300","$217,300","$218,800","$219,700","$219,900","$219,900","$220,600","$222,500","$225,500","$228,500","$231,500","$233,800","$234,800","$235,100","$235,900","$237,400","$239,000","$239,800","$240,400","$241,300","$242,900","$245,300","$248,300","$251,900","$255,700","$259,100","$261,900","$263,600","$264,700","$267,800","$271,200","$273,200","$275,000","$277,700","$279,200","$279,700","$280,300","$280,600","$280,800","$281,400","$281,300","$281,100","$282,300","$284,100","$286,000","$289,200","$293,600","$297,900","$302,400","$307,000","$311,200","$316,200","$321,000","$324,800","$327,200","$328,500"
"Portsmouth","neighborhood","All Homes","$207,900","$210,800","$213,100","$215,000","$217,300","$219,300","$220,900","$222,400","$223,900","$225,500","$227,100","$227,800","$228,000","$228,100","$228,400","$228,600","$227,900","$226,800","$225,800","$225,000","$224,400","$223,700","$222,900","$222,800","$222,600","$221,400","$219,600","$218,300","$217,100","$215,500","$213,100","$209,900","$207,600","$206,400","$204,900","$203,100","$202,400","$202,400","$202,300","$201,200","$200,100","$199,700","$200,000","$200,800","$201,600","$201,700","$201,500","$201,300","$200,500","$199,000","$197,200","$195,600","$194,400","$193,700","$193,200","$192,800","$192,300","$191,300","$189,800","$188,700","$187,700","$186,000","$183,900","$182,600","$182,100","$181,600","$180,600","$179,100","$177,400","$175,600","$174,400","$174,200","$174,400","$175,200","$177,000","$178,900","$179,600","$179,900","$181,400","$184,200","$186,700","$189,000","$191,600","$194,600","$198,000","$202,300","$206,700","$210,200","$213,400","$216,200","$218,300","$219,500","$220,900","$223,300","$225,700","$226,700","$227,000","$227,800","$229,000","$230,800","$232,800","$234,400","$236,200","$238,300","$239,600","$240,500","$242,600","$245,600","$249,300","$252,800","$256,200","$260,000","$264,100","$267,900","$271,600","$275,900","$280,800","$285,700","$290,000","$293,600"
"Powellhurst Gilbert","neighborhood","All Homes","$198,300","$200,700","$203,100","$205,100","$207,000","$209,100","$211,600","$213,800","$215,100","$216,000","$217,100","$218,400","$219,100","$219,100","$218,900","$218,500","$217,400","$215,800","$214,200","$213,200","$212,900","$212,500","$211,500","$210,500","$209,600","$208,100","$206,200","$204,100","$202,200","$200,400","$198,100","$195,400","$193,400","$191,800","$190,100","$188,200","$186,600","$184,900","$183,900","$183,200","$182,200","$181,200","$180,700","$180,200","$179,400","$178,900","$178,400","$177,600","$176,500","$175,000","$172,700","$170,500","$168,900","$167,600","$165,800","$164,100","$161,900","$159,500","$157,100","$154,800","$152,800","$151,500","$150,200","$148,900","$148,000","$147,000","$146,000","$145,100","$144,500","$143,700","$143,100","$143,400","$143,800","$144,200","$144,700","$145,300","$145,700","$146,000","$146,200","$146,500","$147,200","$148,100","$149,500","$151,200","$153,000","$155,400","$158,600","$161,900","$164,600","$167,100","$169,500","$171,300","$172,900","$175,600","$178,500","$181,400","$184,100","$186,200","$187,400","$188,400","$189,300","$190,200","$191,400","$192,800","$194,200","$195,100","$195,800","$196,200","$197,100","$199,100","$201,700","$204,500","$207,200","$210,200","$213,800","$217,800","$221,500","$224,700","$227,500","$229,700"
"Reed","neighborhood","All Homes","$327,800","$331,000","$334,800","$338,100","$339,200","$339,400","$339,500","$340,200","$341,400","$342,600","$343,500","$344,000","$342,800","$342,600","$343,900","$345,200","$346,400","$347,000","$345,600","$344,000","$343,800","$344,400","$345,400","$347,500","$350,100","$350,500","$348,900","$346,600","$343,500","$340,100","$337,200","$333,800","$330,700","$328,800","$327,100","$325,000","$322,900","$320,200","$317,300","$315,800","$316,100","$316,900","$317,300","$317,300","$316,400","$315,100","$314,400","$313,600","$312,500","$310,700","$308,100","$305,800","$303,800","$302,200","$302,100","$303,000","$302,600","$300,700","$298,300","$296,200","$294,900","$294,200","$294,400","$294,600","$294,700","$295,200","$295,500","$295,500","$296,400","$297,300","$297,500","$298,400","$300,500","$303,600","$306,600","$308,900","$310,800","$311,700","$311,700","$312,500","$315,400","$319,600","$323,300","$327,000","$331,100","$336,100","$341,600","$346,300","$349,700","$352,100","$353,900","$356,400","$359,700","$362,200","$364,800","$367,500","$371,000","$374,900","$378,100","$380,400","$382,900","$384,900","$386,800","$387,700","$386,700","$385,600","$387,600","$389,700","$390,700","$392,000","$395,300","$400,300","$406,200","$412,600","$419,300","$425,600","$431,400","$437,800","$444,100","$448,900"
"Richmond","neighborhood","All Homes","$324,500","$329,000","$332,500","$335,300","$336,800","$337,100","$337,400","$338,100","$339,100","$340,300","$341,900","$343,100","$344,300","$345,800","$347,200","$347,600","$347,700","$347,600","$346,400","$344,600","$343,700","$344,400","$345,600","$346,300","$345,800","$344,700","$343,000","$341,100","$338,900","$336,800","$335,000","$332,100","$329,000","$327,600","$327,700","$327,300","$325,600","$322,800","$320,100","$318,600","$318,700","$319,400","$320,000","$320,500","$320,700","$319,700","$318,100","$317,100","$317,400","$317,500","$316,300","$314,000","$310,700","$307,300","$305,300","$305,300","$305,300","$303,600","$301,300","$299,800","$298,000","$295,000","$293,100","$293,500","$295,400","$297,900","$299,700","$301,000","$303,400","$306,100","$308,100","$310,300","$313,500","$318,200","$323,700","$329,000","$333,300","$336,400","$339,100","$341,600","$343,700","$346,500","$350,300","$353,800","$357,600","$362,400","$367,100","$370,600","$372,800","$374,900","$376,800","$378,200","$379,800","$382,400","$385,600","$389,100","$392,300","$395,600","$399,100","$401,900","$403,900","$405,900","$408,900","$412,600","$415,000","$416,300","$418,000","$420,000","$423,300","$428,000","$433,000","$439,100","$446,600","$454,600","$462,200","$470,800","$479,900","$488,600","$495,300","$500,300"
"Rose City Park","neighborhood","All Homes","$327,000","$331,300","$335,600","$339,400","$342,100","$343,700","$344,800","$345,600","$346,200","$347,700","$350,100","$352,400","$354,500","$357,100","$359,000","$358,600","$357,300","$357,100","$356,600","$355,700","$355,000","$355,000","$354,200","$352,400","$348,500","$344,100","$341,000","$339,500","$339,400","$339,800","$339,600","$337,600","$336,300","$337,300","$338,900","$338,100","$336,300","$334,500","$332,700","$330,800","$328,300","$324,800","$321,600","$320,400","$319,600","$317,900","$316,700","$316,800","$317,200","$316,500","$315,100","$313,800","$312,300","$310,300","$309,000","$309,000","$308,800","$306,900","$304,500","$303,400","$302,500","$300,300","$298,500","$298,700","$300,100","$301,700","$303,200","$305,000","$307,600","$309,500","$310,700","$312,400","$315,400","$320,100","$325,900","$330,500","$333,600","$336,600","$339,600","$341,600","$342,700","$344,700","$347,800","$352,100","$358,000","$365,000","$369,900","$372,300","$373,900","$376,500","$379,200","$382,200","$386,700","$392,000","$397,100","$400,900","$402,900","$403,700","$406,200","$409,700","$412,500","$413,400","$414,400","$415,500","$415,700","$415,600","$416,500","$417,800","$419,100","$421,800","$425,900","$431,200","$437,400","$444,500","$452,400","$460,000","$466,100","$470,900","$474,800","$477,500"
"Roseway","neighborhood","All Homes","$254,700","$257,000","$258,900","$260,500","$261,600","$262,700","$264,500","$266,200","$267,000","$267,700","$269,300","$270,700","$271,100","$271,300","$271,800","$271,900","$271,100","$269,700","$268,200","$267,400","$267,600","$268,200","$268,400","$268,800","$269,200","$268,800","$267,700","$267,200","$267,600","$268,100","$267,800","$266,400","$265,000","$263,600","$261,500","$258,800","$256,300","$254,400","$252,400","$250,200","$249,300","$249,400","$248,600","$247,200","$245,700","$244,000","$242,700","$242,700","$243,300","$243,200","$242,000","$241,000","$239,500","$237,100","$235,000","$233,900","$233,000","$231,800","$230,500","$229,000","$227,300","$226,200","$225,800","$225,200","$224,900","$225,200","$225,800","$226,300","$227,200","$228,200","$229,400","$231,700","$234,600","$238,000","$242,500","$246,500","$248,100","$249,100","$251,000","$252,900","$254,000","$255,500","$257,600","$260,100","$263,400","$267,000","$269,900","$272,400","$274,700","$276,400","$278,000","$279,800","$281,900","$285,200","$288,900","$292,600","$295,300","$297,200","$298,000","$297,800","$297,600","$298,200","$299,900","$301,800","$302,800","$303,400","$304,100","$304,400","$305,400","$307,800","$310,500","$315,000","$321,700","$328,500","$334,500","$341,400","$349,600","$357,200","$362,900","$367,300"
